claim,schedule,seed_lane,stream_seed,d,n,T,beta1,beta2,eta,B0,avg_grad_l1,avg_grad_l2
4,paper,10,9224625515088373084,32,2,512,0.009843133202303699,0.009843133202303699,0.0017400365588678508,6,0.0887575079879961,0.019683110995655523
4,paper,11,9224625515088373084,32,2,512,0.009843133202303699,0.009843133202303699,0.0017400365588678508,6,0.0829823355850412,0.018564475374855907
4,paper,12,9224625515088373084,32,2,512,0.009843133202303699,0.009843133202303699,0.0017400365588678508,6,0.09632483204016819,0.0212783769050945
4,paper,13,9224625515088373084,32,2,512,0.009843133202303699,0.009843133202303699,0.0017400365588678508,6,0.09757003008355403,0.021143108958243076
4,paper,14,9224625515088373084,32,2,512,0.009843133202303699,0.009843133202303699,0.0017400365588678508,6,0.09220179178808154,0.01989597817065786
4,paper,15,9224625515088373084,32,2,512,0.009843133202303699,0.009843133202303699,0.0017400365588678508,6,0.09381127611062746,0.021791500838848427
4,paper,0,9048758182720540318,32,2,1024,0.0062007853592507805,0.0062007853592507805,0.0010961543440521223,7,0.05939685777962994,0.01304294515641789
4,paper,1,9048758182720540318,32,2,1024,0.0062007853592507805,0.0062007853592507805,0.0010961543440521223,7,0.08168548624540417,0.017594396766015843
4,paper,2,9048758182720540318,32,2,1024,0.0062007853592507805,0.0062007853592507805,0.0010961543440521223,7,0.06578783921887855,0.014794587599451204
4,paper,3,9048758182720540318,32,2,1024,0.0062007853592507805,0.0062007853592507805,0.0010961543440521223,7,0.06938129089152353,0.016263789319790115
4,paper,4,9048758182720540318,32,2,1024,0.0062007853592507805,0.0062007853592507805,0.0010961543440521223,7,0.07866680047006235,0.01676079675635787
4,paper,5,9048758182720540318,32,2,1024,0.0062007853592507805,0.0062007853592507805,0.0010961543440521223,7,0.0759464724727464,0.017460707550981062
4,paper,6,9048758182720540318,32,2,1024,0.0062007853592507805,0.0062007853592507805,0.0010961543440521223,7,0.08606134847586902,0.01818441579232261
4,paper,7,9048758182720540318,32,2,1024,0.0062007853592507805,0.0062007853592507805,0.0010961543440521223,7,0.07682196354626042,0.01733521232765235
4,paper,8,9048758182720540318,32,2,1024,0.0062007853592507805,0.0062007853592507805,0.0010961543440521223,7,0.0746064128556149,0.016393246697448682
4,paper,9,9048758182720540318,32,2,1024,0.0062007853592507805,0.0062007853592507805,0.0010961543440521223,7,0.07481803049339136,0.017033345458283215
4,paper,10,9048758182720540318,32,2,1024,0.0062007853592507805,0.0062007853592507805,0.0010961543440521223,7,0.0770435664191984,0.017093825300459987
4,paper,11,9048758182720540318,32,2,1024,0.0062007853592507805,0.0062007853592507805,0.0010961543440521223,7,0.07056722979354273,0.015630105029349695
4,paper,12,9048758182720540318,32,2,1024,0.0062007853592507805,0.0062007853592507805,0.0010961543440521223,7,0.07956073484775424,0.017679381388410433
4,paper,13,9048758182720540318,32,2,1024,0.0062007853592507805,0.0062007853592507805,0.0010961543440521223,7,0.06869628264206366,0.014733604534907825
4,paper,14,9048758182720540318,32,2,1024,0.0062007853592507805,0.0062007853592507805,0.0010961543440521223,7,0.07143387377109967,0.01617538366829986
4,paper,15,9048758182720540318,32,2,1024,0.0062007853592507805,0.0062007853592507805,0.0010961543440521223,7,0.07060444107659744,0.015692332132929844
4,paper,0,11361842861132392944,32,2,2048,0.003906250000000002,0.003906250000000002,0.0006905339660024881,8,0.07207497006578237,0.015289642034529025
4,paper,1,11361842861132392944,32,2,2048,0.003906250000000002,0.003906250000000002,0.0006905339660024881,8,0.05661557049326748,0.012270877890715933
4,paper,2,11361842861132392944,32,2,2048,0.003906250000000002,0.003906250000000002,0.0006905339660024881,8,0.059592346117254925,0.013463309355549543
4,paper,3,11361842861132392944,32,2,2048,0.003906250000000002,0.003906250000000002,0.0006905339660024881,8,0.05969932510062023,0.01294051004895164
4,paper,4,11361842861132392944,32,2,2048,0.003906250000000002,0.003906250000000002,0.0006905339660024881,8,0.06132986516499673,0.013339342828885332
4,paper,5,11361842861132392944,32,2,2048,0.003906250000000002,0.003906250000000002,0.0006905339660024881,8,0.05821697391734563,0.012875631796597108
4,paper,6,11361842861132392944,32,2,2048,0.003906250000000002,0.003906250000000002,0.0006905339660024881,8,0.05720942795215624,0.012590482326954311
